type,date,open,high_or_low,close,volume
highest,2006-10-06 00:00:00-04:00,6.615814107222143,6.931070696415665,6.867105484008789,35410000.0
lowest,2006-05-25 00:00:00-04:00,3.6778003208195167,3.6686740570291647,4.1979851722717285,395343000.0
